Country,Currency,Diet Rate,Accommodation Limit
Afganistan,EUR,47,140
Albania,EUR,41,120
Algieria,EUR,50,200
Angola,USD,61,180
Saudi Arabia,EUR,45,180
Argentina,USD,50,150
Armenia,EUR,42,145
Australia,AUD,88,250
Austria,EUR,52,130
Azerbaijan,EUR,43,150
Bangladesh,USD,50,120
Belgium,EUR,48,160
Belarus,EUR,42,130
Bosnia and Herzegovina,EUR,41,100
Brazil,EUR,43,120
Bulgaria,EUR,40,120
Chile,USD,60,120
China,EUR,55,170
Croatia,EUR,42,125
Cyprus,EUR,43,160
Czech Republic,EUR,41,120
Denmark,DKK,406,1300
Egypt,USD,55,150
Ecuador,USD,44,110
Estonia,EUR,41,100
Ethiopia,USD,55,300
Finland,EUR,48,160
France,EUR,50,180
Greece,EUR,48,140
Georgia,EUR,43,140
Spain,EUR,50,160
Netherlands,EUR,50,130
India,EUR,38,190
Indonesia,EUR,41,110
Iraq,USD,60,120
Iran,EUR,41,95
Ireland,EUR,52,160
Iceland,EUR,56,160
Israel,EUR,50,150
Japan,JPY,7532,22000
Yemen,USD,48,160
Jordan,EUR,40,95
Cambodia,USD,45,100
Canada,CAD,71,190
Qatar,EUR,41,200
Kazakhstan,EUR,41,140
Kenya,EUR,41,150
Kyrgyzstan,USD,41,150
Columbia,USD,49,120
Congo,USD,66,220
South Korea,EUR,46,170
North Korea,EUR,48,170
Costa Rica,USD,50,140
Cuba,EUR,42,110
Kuwait,EUR,39,200
Laos,USD,54,100
Lebanon,USD,57,150
Libya,EUR,52,100
Liechtenstein,CHF,88,200
Lithuania,EUR,39,130
Luxembourg,EUR,48,160
Latvia,EUR,57,132
Macedonia,EUR,39,125
Malaysia,EUR,41,140
Malta,EUR,43,180
Morocco,EUR,41,130
Mexico,USD,53,140
Moldova,EUR,41,85
Monaco,EUR,50,180
Mongolia,EUR,45,140
Germany,EUR,49,130
Nigeria,EUR,46,150
Norway,NOK,451,1500
New Zealand,USD,58,180
Oman,EUR,40,240
Poland,PLN,30,240
Pakistan,EUR,38,200
Palestine,EUR,50,150
Panama,USD,52,140
Peru,USD,50,150
Portugal,EUR,49,120
South Africa,USD,52,275
Russia,EUR,48,200
Romania,EUR,38,100
San Marino,EUR,48,174
Senegal,EUR,44,120
Serbia and Montenegro,EUR,40,100
Singapore,USD,56,230
Slovakia,EUR,43,120
Slovenia,EUR,41,130
USA,USD,59,200
Syria,USD,50,150
Switzerland,CHF,88,200
Sweden,SEK,459,1800
Tajikistan,EUR,41,140
Thailand,USD,42,110
Tanzania,USD,53,150
Tunisia,EUR,37,100
Turkey,USD,53,173
Turkmenistan,EUR,47,90
Ukraine,EUR,41,180
Uruguay,USD,50,80
Uzbekistan,EUR,41,140
Venezuela,USD,60,220
Hungary,EUR,44,130
UK,GBP,35,200
Vietnam,USD,53,160
Italy,EUR,48,174
Ivory Coast,EUR,33,100
Zimbabwe,EUR,39,90
United Arab Emirates,EUR,39,200